"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-12-04T17:09:50.718-05:00","0.0","22.61"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-12-04T17:10:14.533-05:00","0.0","1.37"
